Companies,Companies_full,Website,Address,Location,
 University of Western Australia, University of Western Australia,https://www.uwa.edu.au/,"35 Stirling Highway, Perth WA, 6009 Australia",Perth,
360biolabs Pty Ltd,360biolabs Pty Ltd,http://www.360biolabs.com/,"85 Commercial Road, Melbourne, VIC, 3004",Melbourne,
,360biolabs Pty Ltd,http://www.360biolabs.com/,"37 Kent St, Woolloongabba, QLD, 4102",Brisbane,
Abacus dx Pty Ltd,Abacus dx Pty Ltd,https://www.abacusdx.com/,"34 Corporate Drive, Cannon Hill, QLD, 4170",Brisbane,
,Abacus dx Pty Ltd,https://www.abacusdx.com/,"Unit B, 30 Vestey Drive, Mt Wellington, Auckland, NZ",Auckland,
AbCellera,AbCellera,https://www.abcellera.com/,"2215 Yukon Street, Vancouver, BC V5Y 0A1",Vancouver,
Accelagen Pty Ltd,Accelagen Pty Ltd,http://www.accelagen.com.au/,"Suite 2.02, 785 Toorak Road, Hawthorn East, Victoria, Australia 3102",Melbourne,
Actinogen Medical Limited,Actinogen Medical Limited,http://www.actinogen.com.au/,"Suite 901, Level 9, 109 Pitt Street, Sydney NSW 2000, Australia",Sydney,
Acuity Capital,Acuity Capital,https://www.acuitycapital.com.au/,"Level 24, Three International Towers, Sydney NSW 2000,  Australia",Sydney,
,Acuity Capital,https://www.acuitycapital.com.au/,"Level 25, 108 St Georges Terrace, Perth WA 6000, Australia",Perth,
,Acuity Capital,https://www.acuitycapital.com.au/,"Level 23, Tower 5, Collins Square, Melbourne VIC 3008, Australia",Melbourne,
AdAlta Limited,AdAlta Limited,http://www.adalta.com.au/,"Room 204, LIMS2, La Trobe Institute of Molecular Science, Science Drive, La Trobe University VIC 3086, Australia",Melbourne,
Adapt ldeations Pty Ltd,Adapt ldeations Pty Ltd,https://www.adaptideations.com/,"H.No.1-89/G/36, 3rd Floor, Plot No.36, Mindspace, Shilpi Valley, Madhapur, Hyderabad – 500081, India",Hyderabad,
,Adapt ldeations Pty Ltd,https://www.adaptideations.com/,"34/7 Salisbury Road, Castle Hill, NSW, 2154",Sydney,
,Adapt ldeations Pty Ltd,https://www.adaptideations.com/,"1700 Post Oak Blvd. Suite 600, Houston, TX 77056",Houston,
,Adapt ldeations Pty Ltd,https://www.adaptideations.com/,"ADAPT Ideations Global PTE LTD, 11 Beach Road #03-01, Singapore 189675",Singapore,
Additive Manufacturing Network,Additive Manufacturing Network,http://amhub.net.au/,"Suite 10, 5 Corporate Boulevard Bayswater Victoria 3153, Australia",Melbourne,
Adjutor Healthcare Pty Ltd,Adjutor Healthcare Pty Ltd,https://www.adjutor.com.au/,,,
Agilex Biolabs Pty Ltd,Agilex Biolabs Pty Ltd,https://www.agilexbiolabs.com/,"31 Dalgleish Street, Thebarton SA 5031",Adelaide,
,Agilex Biolabs Pty Ltd,https://www.agilexbiolabs.com/,"2404 Logan Road, Eight Mile Plains QLD 4113",Brisbane,
Akesa Pty Ltd,Akesa Pty Ltd,https://akesagroup.com/,"Level 2, 121 Flinders Lane, Melbourne VIC, Australia 3000",Melbourne,
Alfred Health Victoria,Alfred Health Victoria,https://www.alfredhealth.org.au/,"55 Commercial Rd, Melbourne VIC 3004",Melbourne,
Algorae Pharmaceuticals (formerly Living Cell Technologies),Algorae Pharmaceuticals (formerly Living Cell Technologies),https://algoraepharma.com/,"Level 23, Rialto South Tower, 525 Collins Street, Melbourne VIC 3000",Melbourne,info@lctglobal.com
Alithia Life Sciences Pty Ltd,Alithia Life Sciences Pty Ltd,http://www.alithialifesciences.com/,,,
Alliance for Regenerative Medicine (ARM),Alliance for Regenerative Medicine (ARM),https://alliancerm.org/,"1015 18th Street NW, Suite 1102, Washington, D.C. 20036",Washington,
Almac Group,Almac Group,https://www.almacgroup.com/,"Almac House, 20 Seagoe Industrial Estate, Craigavon,BT63 5QD, United Kingdom",,
AlphaRET,AlphaRET,https://nova-eye.com/company/alpharet/,"107 Rundle Street, Kent Town SA 5067",Adelaide,
Amplia Therapeutics Limited,Amplia Therapeutics Limited,https://www.ampliatx.com/site/content/,"Level 17, 350 Queen Street, Melbourne VIC 3000",Melbourne,
Anatomics Pty Ltd,Anatomics Pty Ltd,https://www.anatomics.com/,"246 East Boundary Road, Bentleigh East, Melbourne 3165",Melbourne,
ANDHealth,ANDHealth,http://andhealth.com.au/,"PO Box 45, Collins Street West VIC 8007, AUSTRALIA",Melbourne,
AnteoTech Ltd,AnteoTech Ltd,https://www.anteotech.com/,"Unit 4, 26 Brandl Street, Brisbane Technology Park, Eight Mile Plains QLD 4113 Australia",Brisbane,
Anteris Technologies,Anteris Technologies,https://anteristech.com/,"Toowong Tower, Level 3, Suite 302, 9 Sherwood Road, Toowong, QLD 4066, Australia",Brisbane,
Aravax,Aravax,https://www.aravax.com.au/,"Level 9, 31 Queen St, Melbourne VIC 3000, Australia",Melbourne,
ARCS Australia Ltd.  ,ARCS Australia Ltd.  ,https://www.arcs.com.au/,"Suite 1803, Level 18, 99 Mount Street, North Sydney NSW 2060 AUSTRALIA",Sydney,
Argenica Therapeutics Ltd,Argenica Therapeutics Ltd,http://www.argenica.com.au/,"4/117 Broadway, Nedlands WA 6009, Australia, PO Box 1458, West Perth WA 6872",Perth,
Arovella Therapeutics Ltd,Arovella Therapeutics Ltd,https://www.arovella.com/,"Jumar Bioincubator, 655 Elizabeth Street, Melbourne VIC 3000",Melbourne,
Asia Pacific Consultants Pty. Ltd.,Asia Pacific Consultants Pty. Ltd.,https://www.a-p-c.com.au/,"Unit 404 Compass Business Park, 27 Mars Rd Lane Cove, NSW 2066 Australia",Sydney,
ASSCR,ASSCR,https://asscr.org/membership/,,,
Asteri Pharma,Asteri Pharma,https://www.asteripharma.com/,"Level 18, Collins Square Tower 4, 727 Collins St. Melbourne VIC 3008",Melbourne,
AstraZeneca Pty Ltd,AstraZeneca Pty Ltd,http://www.astrazeneca.com.au/,"47 Talavera Road, North Ryde NSW 2113",Sydney,
Atticus Medical Pty Ltd,Atticus Medical Pty Ltd,https://www.atticusmed.com/about,"Level 1, 18 Kavanagh St, Southbank, 3006, Victoria, AUSTRALIA",Melbourne,
Aucentra Therapeutics,Aucentra Therapeutics,https://www.aucentra.com/about/,,,
Australasian Gene and Cell Therapy Society,Australasian Gene and Cell Therapy Society,https://agcts.org.au/,,,
Australasian Leukaemia and Lymphoma Group,Australasian Leukaemia and Lymphoma Group,https://www.allg.org.au/,"35 Elizabeth Street, Richmond VIC 3121",Melbourne,
Australia Red Cross Lifeblood ,Australia Red Cross Lifeblood ,https://www.lifeblood.com.au/," PO BOX 354,  South Melbourne, VIC 3205 ",Melbourne,
Australia’s Industry Growth Centre,Australia’s Industry Growth Centre,https://www.industry.gov.au/science-technology-and-innovation/industry-innovation/industry-growth-centres,"National office: Industry House, 10 Binara Street, Canberra ",Canberra,
Australian Institute for Bioengineering and Nanotechnology (AIBN),Australian Institute for Bioengineering and Nanotechnology (AIBN),https://aibn.uq.edu.au/,"Corner College and Cooper Rds (Bldg 75), The University of Queensland, Brisbane Qld 4072, Australia",Brisbane,
"Australian National University (ANU), Office of Research and Innovation Services","Australian National University (ANU), Office of Research and Innovation Services",,,,
Australian Red Cross Lifeblood (ARCLB),Australian Red Cross Lifeblood (ARCLB),http://www.donateblood.com.au/," PO BOX 354,  South Melbourne, VIC 3205 ",Melbourne,
Australian Regenerative Medicine Institute,Australian Regenerative Medicine Institute,http://www.armi.org.au/,"23 Innovation Walk, Monash University, Wellington Road, CLAYTON  3800",Melbourne,
Australian Trade & Investment Commission (Austrade),Australian Trade & Investment Commission (Austrade),http://www.austrade.gov.au/,,,
Avatar Brokers Pty. Limited *special member discount,Avatar Brokers Pty. Limited *special member discount,,,,
Avecho Biotechnology,Avecho Biotechnology,http://www.phosphagenics.com/,"Unit A8, 2A Westall Road, Clayton, VIC, Australia 3168",Melbourne,
Avita Medical,Avita Medical,https://avitamedical.com/,"28159 Avenue Stanford, Suite 220, Valencia, CA 91355 United States of America",Valencia,media@avitamedical.com
Baker Heart & Diabetes Institute,Baker Heart & Diabetes Institute,https://baker.edu.au/,"PO Box 6492, Melbourne Victoria 3004, Australia",Melbourne,
Base Bio Consulting Pty Ltd,Base Bio Consulting Pty Ltd,https://www.basebio.com.au/,,,
Bayer,Bayer,https://www.bayer.com.au/en/,,,
BDMI Cord Blood Bank,BDMI Cord Blood Bank,,,Melbourne,
Bellberry Limited,Bellberry Limited,http://www.bellberry.com.au/,"123 Glen Osmond Road Eastwood Adelaide, South Australia 5063",Adelaide,
,Bellberry Limited,http://www.bellberry.com.au/,"Level 39, Rialto South Tower 525 Collins Street, Melbourne Victoria 3000",Melbourne,
